timestamp,run_id,rank,market_number,market_title,side,consensus,consensus_count,total_models,reasoning,link
2025-11-06T10:41:35.330746,20251106_104135,1,3,US x Venezuela military engagement by November 14?,NO,4 out of 4 models agreed,4,4,All models agree that direct US-Venezuela military engagement is extremely unlikely given current diplomatic relations and lack of escalation indicators.,https://polymarket.com/event/us-x-venezuela-military-engagement-by-october-31
2025-11-06T10:41:35.330746,20251106_104135,2,9,"Maduro out by November 30, 2025?",NO,4 out of 4 models agreed,4,4,Universal consensus that Maduro maintains firm authoritarian control with no credible path to removal by the deadline.,https://polymarket.com/event/maduro-out-in-2025
2025-11-06T10:41:35.330746,20251106_104135,3,13,Nothing Ever Happens: November,YES,4 out of 4 models agreed,4,4,"All models recognize that truly major world-changing events are rare in single months, making this meta-market likely to resolve YES.",https://polymarket.com/event/nothing-ever-happens-november
2025-11-06T10:41:35.330746,20251106_104135,4,8,Will Kamala Harris win the 2028 Democratic presidential nomination?,NO,4 out of 4 models agreed,4,4,Strong agreement that Harris faces significant headwinds after 2024 loss and Democrats typically favor fresh candidates after defeats.,https://polymarket.com/event/democratic-presidential-nominee-2028
2025-11-06T10:41:35.330746,20251106_104135,5,24,Will Graham Platner drop out of Maine Senate race by December 31?,NO,4 out of 4 models agreed,4,4,"Complete consensus that candidates rarely drop out without major scandals or health issues, with no indication of such factors present.",https://polymarket.com/event/will-graham-platner-drop-out-of-maine-senate-race-by-december-31
2025-11-06T10:58:55.921167,20251106_105855,1,5,"Will the U.S. invade Venezuela by March 31, 2026?",NO,5 out of 5 models agreed,5,5,All models agree a US military invasion is geopolitically improbable and would require extraordinary circumstances that are extremely unlikely.,https://polymarket.com/event/will-the-us-invade-venezuela-in-2025
2025-11-06T10:58:55.921167,20251106_105855,2,3,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,NO,5 out of 5 models agreed,5,5,"Universal agreement that The Rock lacks political infrastructure and experience, making a presidential win highly improbable against established politicians.",https://polymarket.com/event/presidential-election-winner-2028
2025-11-06T10:58:55.921167,20251106_105855,3,9,Will Pope Leo XIV be the #1 searched person on Google this year?,NO,4 out of 5 models agreed (1 YES outlier),4,5,Strong consensus that Pope Leo XIV either doesn't exist or is too obscure to be the top Google search over celebrities and major events.,https://polymarket.com/event/1-searched-person-on-google-this-year
2025-11-06T10:58:55.921167,20251106_105855,4,12,Will Meta (META) close above $720 end of November?,NO,5 out of 5 models agreed,5,5,All models agree $720 represents an unrealistic 35-45% gain for META in one month without major catalysts.,https://polymarket.com/event/meta-above-in-november-2025
2025-11-06T10:58:55.921167,20251106_105855,5,17,Will xAI have the top AI model at the end of November 2025?,NO,5 out of 5 models agreed,5,5,"Complete consensus that xAI/Grok lags behind established leaders like OpenAI, Google, and Anthropic in benchmarks and adoption.",https://polymarket.com/event/which-company-has-top-ai-model-end-of-november-style-control-on
2025-11-06T11:09:31.973707,20251106_110931,1,18,Will Trump win FIFA Peace Prize?,NO,5 out of 5 models agreed,5,5,All models recognize this is either not a real award or extremely unlikely for Trump to receive.,https://polymarket.com/event/will-trump-win-fifa-peace-prize
2025-11-06T11:09:31.973707,20251106_110931,2,8,Will xAI have the top AI model at the end of November 2025?,NO,5 out of 5 models agreed,5,5,Universal agreement that xAI lacks the capability to surpass established leaders like OpenAI and Google.,https://polymarket.com/event/which-company-has-top-ai-model-end-of-november-style-control-on
2025-11-06T11:09:31.973707,20251106_110931,3,20,Fed rate hike in 2025?,NO,5 out of 5 models agreed,5,5,All models align with economic consensus that Fed will hold or cut rates rather than hike in 2025.,https://polymarket.com/event/fed-rate-hike-in-2025
2025-11-06T11:09:31.973707,20251106_110931,4,24,Will OpenAI have the top AI model on December 31?,YES,5 out of 5 models agreed,5,5,Complete consensus that OpenAI's market leadership and GPT developments position them to maintain top model status.,https://polymarket.com/event/which-company-has-best-ai-model-end-of-2025
2025-11-06T11:09:31.973707,20251106_110931,5,19,Monad market cap (FDV) >$4B one day after launch?,NO,5 out of 5 models agreed,5,5,All models view $4B FDV as overly ambitious for a new blockchain launch in current market conditions.,https://polymarket.com/event/monad-market-cap-fdv-one-day-after-launch
2025-11-06T11:30:10.765702,20251106_113010,1,2,Will xAI have the top AI model at the end of November 2025?,NO,5 out of 5 models agreed,5,5,All models agree xAI lacks the resources and development trajectory to surpass established leaders like OpenAI and Google by November 2025.,https://polymarket.com/event/which-company-has-top-ai-model-end-of-november-style-control-on
2025-11-06T11:30:10.765702,20251106_113010,2,12,Will Trump win FIFA Peace Prize?,NO,5 out of 5 models agreed,5,5,Universal consensus that this is extremely unlikely due to either FIFA not awarding such a prize or Trump's polarizing international reputation making it implausible.,https://polymarket.com/event/will-trump-win-fifa-peace-prize
2025-11-06T11:30:10.765702,20251106_113010,3,14,Fed rate hike in 2025?,NO,5 out of 5 models agreed,5,5,All models agree the Fed is in a cutting cycle with current economic conditions making a rate hike in 2025 highly improbable.,https://polymarket.com/event/fed-rate-hike-in-2025
2025-11-06T11:30:10.765702,20251106_113010,4,18,Will OpenAI have the top AI model on December 31?,YES,5 out of 5 models agreed,5,5,"Complete agreement that OpenAI's current leadership position, resources, and development pace position them to maintain top model status through year-end.",https://polymarket.com/event/which-company-has-best-ai-model-end-of-2025
